Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
22,-59.89955520629883,3.034396171569824,47.57620620727539,-7.350648683871475,-19.292794735610226,166.10651598865923,-21.544378,11.24206,-10.778089,145.72961,-47.8968,-10.114731,-24.808096,-1.3563155,11.258549,146.8496,-46.262856,7.7447186,-0.7309897,-0.98299587,9.993589,-4.65134,25.75686,-18.181664,47.890182,-1.430596,4.667012,20.941246,4.5751815,-16.807823,23.903315,53.53751,3.380993,-5.1035194,-21.780666
23,-61.65257263183594,3.209695339202881,46.568946838378906,-7.524288576630288,-21.276641934563642,165.71098219370916,-11.947762,10.054956,-10.641366,148.52187,-50.000305,-12.579639,-17.866808,-0.09399865,13.168006,149.60565,-49.75702,9.448081,-0.7864167,-0.47975555,8.3899765,-1.7713225,25.858004,-17.719864,47.1708,-0.13638175,4.646929,20.723808,6.9782486,-16.863197,22.891869,53.809887,3.4511693,-5.624732,-21.669624
24,-63.43144607543945,3.4070141315460205,45.82558822631836,-7.5168381162631475,-22.413650282343994,164.6443332491399,-2.6743126,7.693065,-10.457603,149.73276,-50.000305,-14.998514,-12.164243,0.30896884,15.2419815,150.86816,-50.000305,10.603659,-0.7664947,-0.10859764,7.44525,0.9069644,25.916027,-17.813574,47.218304,0.6513986,4.3493648,20.545856,8.60613,-16.976717,21.977371,53.662918,3.20845,-5.6926246,-21.712177
25,-65.16068267822266,3.631077766418457,45.25224304199219,-7.854945610089171,-22.81238501555376,163.28189556900608,3.243155,6.356331,-9.587716,149.62079,-47.55579,-15.000033,-7.894942,1.3471309,16.417244,151.24141,-50.000305,11.628861,-0.6412469,0.84448993,7.085861,2.698769,25.71079,-18.114262,48.02438,0.7670105,4.507008,19.382599,8.959872,-17.103157,21.467466,53.52717,3.5464766,-5.504869,-21.218573
26,-66.80561065673828,3.9142508506774902,44.38766098022461,-7.769491976188206,-22.27107247772691,162.21420109158487,7.058211,4.387286,-8.683504,149.03423,-45.399246,-15.000033,-4.56529,1.1502208,17.417892,151.06453,-50.000305,12.165549,-0.6991717,1.2672361,7.0189967,3.8974786,25.308664,-18.998598,48.973225,0.6573467,4.5990562,18.224955,8.484829,-17.144682,21.584476,53.483433,4.0002074,-5.561687,-21.140062
27,-68.29737091064453,4.244010925292969,43.940452575683594,-7.540114954604578,-20.965683072902355,160.85866765435685,8.365414,2.632048,-8.246874,148.2658,-43.853928,-15.000033,-2.7628903,0.8045016,18.151045,150.64601,-50.000305,12.304624,-0.86477804,1.6260533,7.1796017,4.3348007,24.704472,-20.242477,50.327473,0.38063082,4.6698904,17.147331,7.0602303,-17.088066,22.054981,53.390373,4.552489,-5.05124,-20.499352
28,-69.60830688476562,4.612093925476074,43.73310089111328,-7.471628635013117,-19.353615464532975,159.463977599911,8.407207,1.6830533,-7.7433434,147.56447,-42.392838,-15.000033,-2.0028937,0.26902825,18.402203,150.36107,-50.000305,11.973529,-0.97208816,2.1018054,7.4939594,4.222107,23.995756,-21.659538,51.767273,0.25482157,4.8993797,16.622606,5.2122293,-16.95366,22.62594,53.522686,4.3795576,-4.630036,-20.018078
29,-70.75067901611328,4.984491348266602,43.761474609375,-7.164041078269773,-17.565425635540844,158.1828360150176,7.318947,0.7156439,-7.281141,146.81676,-41.128883,-15.000033,-1.8287241,0.69119555,18.880558,149.71394,-49.69136,12.33995,-1.1001967,2.554075,8.123477,3.2608747,23.35787,-23.167036,53.27471,0.27066493,5.2940345,15.773382,2.6445923,-16.775906,23.637579,53.678616,4.5081415,-4.33159,-20.570564
30,-71.73977661132812,5.3510026931762695,44.01984405517578,-6.835878630953087,-15.392081382994666,156.62791239312332,5.4769173,0.36630645,-6.645235,145.97234,-39.746033,-14.128965,-3.4673,1.6566669,19.219551,148.82382,-46.916275,12.530027,-1.3360443,3.031127,8.691583,2.1979015,22.827326,-24.570719,54.58347,0.34196433,5.5246463,15.162531,-0.30939972,-16.59339,24.56335,53.06029,3.0419765,-3.78269,-21.521343
31,-72.59479522705078,5.684633731842041,44.40439224243164,-6.635053588694031,-13.70002632352661,155.0445401864483,3.5426872,-0.24391784,-5.9118114,144.98302,-37.602802,-13.567857,-4.925229,1.8060101,19.59786,147.74025,-45.04646,12.867076,-1.5773839,3.285884,9.218037,0.7532948,22.512287,-26.104107,55.764065,0.59732425,5.426604,14.662918,-2.8595,-16.464008,25.379208,51.641315,2.3979805,-3.8465924,-22.928135
