Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
22,-1.3127102851867676,3.3335983753204346,92.88278198242188,0.14201659985418258,-1.5974230965669358,69.45991919868665,5.986204,6.7508264,17.493883,1.9729743,4.136994,-7.1062818,15.690052,-10.001732,-42.676403,2.7115016,-1.8073057,5.2499332,2.6505249,1.2909027,2.3603487,5.8142643,10.326053,-37.173313,65.03925,2.9617634,3.8638155,7.6389103,10.069987,-13.952909,30.45367,64.67131,5.956824,2.5797234,-11.174256
23,-1.3503594398498535,3.6866836547851562,92.89509582519531,0.15978518927749852,-1.4389856234289007,68.46885682576331,6.7155805,6.5602107,18.334324,1.2285802,3.8947926,-6.8506274,15.117871,-10.487174,-41.600838,3.5669332,-1.9432375,5.382958,2.2526147,1.1055857,2.3191314,5.8069973,10.624323,-36.90161,64.666725,3.6022453,4.047792,7.5805926,10.012181,-14.082022,29.649815,63.73369,5.9474936,2.5797446,-11.376328
24,-1.404584527015686,4.023118019104004,92.90516662597656,0.27784241158471573,-1.228734508259998,67.27745361969481,7.509923,6.1964545,19.30642,0.2625812,3.9389427,-6.5803323,14.307053,-11.160655,-40.303665,4.642736,-2.0851872,5.480512,1.6564003,0.8766051,2.3291354,6.1537395,10.881984,-36.47379,64.32532,3.9076006,4.211529,7.60297,10.018066,-14.262448,28.506472,62.695404,6.1879954,2.6029506,-11.584221
25,-1.479759693145752,4.3375244140625,92.88733673095703,0.2537612585130632,-1.2056290607603828,66.07682771784647,8.566811,5.953847,20.417725,-0.8659335,3.9897532,-6.277691,13.554679,-11.720541,-38.960667,5.933751,-2.1243973,5.2902403,0.91507626,0.7849146,2.471573,6.545173,11.091419,-36.187473,64.05926,4.1597824,4.3040886,7.5456834,10.208701,-14.449634,27.303366,61.37303,6.287244,2.786509,-11.886012
26,-1.564170002937317,4.6311259269714355,92.8824691772461,0.024836560851015436,-1.2614902325755921,64.74966513446712,10.001905,5.8065815,21.656902,-2.6419172,4.427768,-5.86495,12.781213,-11.896521,-37.38313,6.9309044,-1.3453422,4.816228,0.014444308,0.79848564,2.9544756,6.978608,11.248711,-35.51838,63.799892,3.9085128,4.294113,7.648931,10.466472,-14.651899,25.94962,60.025707,6.36098,2.8304396,-11.875452
27,-1.6384342908859253,4.90055513381958,92.85905456542969,-0.2625940172777327,-1.298286932921965,62.794597289811755,11.268616,5.80143,23.274412,-3.8424613,4.2402196,-5.3074837,8.212721,-14.060229,-35.41817,15.51261,-3.3031378,3.7686498,-1.0162191,0.7931545,3.5786195,7.2363324,11.402245,-35.17976,63.913963,3.5915494,4.1096897,7.697908,10.490124,-14.891369,24.629808,58.7403,6.6121583,2.761241,-12.020518
28,-1.6610875129699707,5.1482720375061035,92.7392578125,-0.13026353130897647,-1.532385417442939,60.760999541807365,12.296004,5.529352,25.063402,-3.9701865,3.318602,-4.608822,3.0145836,-16.070578,-33.858425,23.616266,-4.780188,3.0118778,-1.755574,0.4766394,4.329351,7.201283,11.604262,-35.215084,64.07264,3.3577852,4.0994477,7.757661,10.617154,-15.089873,23.99046,57.798096,7.081876,2.5434823,-12.336949
29,-1.5799893140792847,5.415221214294434,92.539306640625,0.16617771422034033,-1.4451907438261582,58.995191608784815,12.914904,5.07883,26.334047,-4.0832186,2.2079184,-3.987415,-1.5030757,-17.98744,-32.564896,31.026646,-5.8085313,2.1975527,-2.4090264,0.18581755,5.071013,7.1893363,11.813676,-35.01924,64.233795,3.2388024,4.2914143,8.121147,10.913983,-15.246278,23.17273,57.204315,7.4665995,2.385477,-12.447722
30,-1.364203691482544,5.726623058319092,92.44451904296875,0.17500921089380503,-1.5953166046123946,57.41265558793409,13.900765,5.075599,28.019987,-4.192422,1.5881195,-3.6365936,-4.905039,-19.125381,-32.100605,35.22099,-5.901516,1.4423382,-3.0479615,0.13788599,5.8515315,6.923723,12.033619,-34.976498,64.42918,3.2007792,4.5280137,8.218933,11.303954,-15.275823,22.731445,56.96228,8.195917,1.996302,-12.469712
31,-0.9758561849594116,6.10814905166626,92.37709045410156,0.03129714636786318,-1.5532007345161145,55.49809174002844,14.910845,5.302476,30.057512,-4.3192472,1.1441299,-3.5876603,-7.2990785,-19.778652,-32.84262,36.604115,-5.806514,0.82074535,-3.72482,0.3093329,6.68382,6.594197,12.2390785,-35.0003,64.61987,2.739285,4.675665,8.27024,11.449014,-15.217655,22.591219,57.191242,9.036509,1.8753281,-12.407956
