Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
39,10.748353958129883,1.1739641427993774,81.03857421875,0.38001114479988607,-2.1775674983025803,53.75130658829423,-41.44255,8.91614,1.0679234,56.18961,0.0047087595,-5.7096887,9.1355095,-7.0806656,-24.005842,28.467464,-23.058622,5.3406944,3.9555264,8.328095,11.715285,10.941681,12.266599,-26.868097,63.016235,-4.9648585,4.832532,9.663243,2.8130412,-16.44617,30.12444,66.76447,8.077491,5.1700926,-13.348965
40,12.336997985839844,2.663989543914795,80.72486877441406,1.1028193822108596,-1.044433298862356,54.30941141791937,-41.7835,6.9629602,0.89406824,47.858673,1.4508728,-6.4464874,9.748481,-6.7907276,-22.656267,28.071768,-23.293606,5.5161214,4.3138075,8.224809,12.270612,11.801876,11.793896,-27.133505,62.993217,-4.105163,5.0183525,9.316626,1.7221366,-17.128328,29.671558,65.709335,8.046937,4.7887964,-13.313399
41,13.995553970336914,4.3741302490234375,80.21257781982422,1.5246216525693177,0.09959481577515654,54.56781629678315,-41.80658,5.2779694,-0.24878053,40.84382,2.4760842,-7.857913,10.87132,-6.646726,-22.380463,27.474054,-23.562355,5.912958,4.640099,8.122297,12.45228,12.683551,11.380831,-27.293383,62.966293,-3.2938094,4.7925315,9.18266,0.9332777,-17.791363,29.130608,64.43631,8.172069,4.106495,-13.137451
42,15.67386245727539,6.254663467407227,79.44961547851562,1.6790115354100195,1.2295140585117477,54.72790892631438,-40.860527,4.267705,-1.0157831,33.150288,2.3136299,-9.008839,11.837937,-6.011295,-21.091309,27.228495,-24.311226,5.836112,4.97149,7.8759007,12.434133,13.639519,11.040222,-27.531092,63.16517,-2.9330575,4.8581657,8.791764,0.2718545,-18.389368,28.881218,63.417427,8.081942,3.1101496,-13.295742
43,17.3361873626709,8.269641876220703,78.7334213256836,1.9879307520155132,1.9684862856794039,54.28441536928039,-39.79674,2.8546963,-1.7238666,28.519258,2.6757946,-9.821,13.029181,-6.005695,-19.383715,27.650444,-24.534286,5.7957006,5.303089,7.31667,12.2351,14.275865,10.78811,-27.758049,63.532444,-3.631888,4.6711454,8.883648,-0.14677827,-18.885962,28.947273,62.644928,8.499846,2.3384056,-13.393671
44,18.960853576660156,10.396361351013184,78.14421081542969,2.387971500913651,2.2470592503502878,54.00325950636854,-38.347374,1.6690756,-1.6972588,26.814444,2.7376907,-9.657022,14.700416,-6.899564,-17.994053,28.707792,-24.422066,5.8392763,5.5397487,6.521684,11.735308,14.727624,10.596428,-27.748978,64.69026,-4.471704,4.561538,8.494128,-0.03222116,-19.25316,28.769445,61.939396,8.953023,1.6141686,-12.980084
45,20.541425704956055,12.622146606445312,77.58572387695312,2.6715912094011642,2.1416023741323675,53.944933095832596,-37.356,0.4602961,-2.3559802,27.249073,2.8488946,-9.286975,16.296947,-7.750512,-16.529072,29.65895,-23.927942,5.9739017,5.7257586,5.858507,11.075952,14.823788,10.535985,-27.443464,65.6192,-4.503638,4.778239,8.209497,0.2867239,-19.36834,28.705585,61.395973,8.644898,1.7708784,-12.686439
46,22.06691551208496,14.914244651794434,77.57735443115234,3.1255953955918114,1.5541561312406285,53.476915229133354,-35.495686,-0.8179715,-2.1926785,28.56134,2.8501885,-8.357134,17.113544,-8.319187,-16.33335,31.421968,-21.93058,6.010905,6.148006,5.050201,10.092577,14.725937,10.555398,-27.190306,66.98418,-5.9177313,4.651324,7.810596,1.1871383,-19.390543,29.085062,61.824623,9.007339,1.0681077,-12.034005
47,23.540515899658203,17.2574462890625,77.74864959716797,4.170581063510533,0.5898442035136643,53.30331008323532,-33.8227,-2.586213,-2.5016754,30.147821,3.7718856,-7.2708564,17.209026,-9.635654,-15.225332,35.259342,-18.854185,6.1217914,6.244568,3.7876594,9.030743,14.484932,10.603503,-26.475939,68.11222,-6.610833,4.9263597,7.5220323,2.0725627,-19.283651,29.564316,62.206867,8.768745,1.0637186,-10.934286
48,24.96676254272461,19.64242172241211,78.11608123779297,5.147261735048929,0.16813996193340522,52.89858902735824,-31.804651,-4.6116667,-2.9532297,31.378967,3.2171528,-6.1135216,14.953841,-10.97321,-13.226706,43.27649,-11.874057,5.44064,6.2814837,2.3560333,7.919727,13.954861,10.701846,-26.391962,68.884865,-7.0572624,4.8547025,7.5993767,3.5405738,-18.965338,30.340532,62.50646,8.596073,0.71913874,-10.527707
49,26.34621238708496,22.022722244262695,78.7934799194336,5.90935690569961,-0.5758421574102806,52.49876697430411,-29.285439,-6.070122,-2.8398647,32.796555,1.6242652,-4.4447985,10.305755,-12.16469,-10.945799,54.264008,-4.0143204,5.0546255,5.8247657,0.86012477,7.295947,12.7123375,10.830225,-26.448948,69.64697,-7.422055,4.6250687,8.079395,4.809975,-18.52844,31.433533,62.978043,7.4820004,0.8080849,-9.986504
50,27.705127716064453,24.376129150390625,79.08708190917969,6.583295016599746,-1.5082796216557572,52.54979330268605,-26.554932,-7.4565444,-2.8393571,34.238655,-1.5267481,-2.5331862,4.9686785,-13.217802,-9.44345,64.68793,0.26022014,4.0725293,4.887139,-0.61320627,6.9023056,10.902601,11.08665,-26.35119,70.203316,-6.7932453,4.431174,8.3583145,6.071062,-17.974699,31.9213,62.743946,6.182447,1.0552425,-10.234043
51,29.06753921508789,26.678451538085938,79.59416198730469,6.870926526800669,-2.2311381844161784,51.39771919424378,-23.279385,-7.641664,-2.0890377,34.77807,-4.3283563,-0.70473224,-2.4149878,-14.582515,-8.69035,74.91869,2.201254,3.6237009,3.801441,-1.5447975,6.8804574,8.919818,11.276308,-26.348204,70.02484,-6.825676,4.199127,9.584303,6.5622854,-17.470213,32.543537,63.073486,4.68805,1.6103234,-9.800139
52,30.475706100463867,28.926610946655273,79.92526245117188,7.023698345123426,-3.0872821749398476,50.874171752605506,-19.735418,-8.034452,-1.9328457,34.8688,-8.099149,0.7566354,-9.344479,-16.760736,-9.3721285,81.74353,-0.024489805,1.7246512,2.5208623,-2.3928351,6.994135,6.3962603,11.601702,-26.562492,69.77845,-5.913274,4.181636,10.2732525,7.369725,-16.944017,32.726917,63.44365,3.1513395,2.064129,-9.931248
53,31.98346519470215,31.1104679107666,80.26531982421875,7.058871559507342,-4.215661116619233,49.74631732502871,-15.5212145,-7.981697,-1.5697784,34.468876,-10.75337,1.8157935,-15.65227,-18.602722,-10.211208,85.55237,-3.5128543,0.28355783,1.2366359,-2.8303704,7.125013,3.8432422,12.047291,-26.73788,68.90681,-5.30047,4.237245,10.904171,7.82696,-16.479702,33.0438,64.17002,1.8848536,2.1461055,-9.658107
54,33.64662551879883,33.25780487060547,80.5543212890625,6.674862443662973,-5.293064813235281,48.236961957888894,-11.312582,-7.226921,-0.9836374,34.25046,-12.937132,2.1216755,-21.445383,-20.141659,-10.865152,86.82862,-6.636169,-1.0971154,-0.17416617,-3.0172803,7.4672728,1.1950067,12.55483,-26.498917,67.1871,-4.4654965,4.5434217,11.584132,8.60219,-16.006296,32.49669,64.48564,2.4127743,2.3131108,-9.270308
