Frame,root_translateX,root_translateY,root_translateZ,root_rotateX,root_rotateY,root_rotateZ,left_hip_pitch_joint_dof,left_hip_roll_joint_dof,left_hip_yaw_joint_dof,left_knee_joint_dof,left_ankle_pitch_joint_dof,left_ankle_roll_joint_dof,right_hip_pitch_joint_dof,right_hip_roll_joint_dof,right_hip_yaw_joint_dof,right_knee_joint_dof,right_ankle_pitch_joint_dof,right_ankle_roll_joint_dof,waist_yaw_joint_dof,waist_roll_joint_dof,waist_pitch_joint_dof,left_shoulder_pitch_joint_dof,left_shoulder_roll_joint_dof,left_shoulder_yaw_joint_dof,left_elbow_joint_dof,left_wrist_roll_joint_dof,left_wrist_pitch_joint_dof,left_wrist_yaw_joint_dof,right_shoulder_pitch_joint_dof,right_shoulder_roll_joint_dof,right_shoulder_yaw_joint_dof,right_elbow_joint_dof,right_wrist_roll_joint_dof,right_wrist_pitch_joint_dof,right_wrist_yaw_joint_dof
22,2.2779221534729004,-2.5755772590637207,91.59027099609375,-2.275686512960175,-4.158874804409678,23.030136167329136,-7.085462,9.811422,-10.94984,31.375002,-8.899673,-14.712216,20.497786,-1.5178238,-40.429993,2.3421907,-10.570958,3.8444335,-1.3989708,6.6820087,4.8894925,7.3505826,11.241675,-26.986263,66.224815,-5.118435,4.2075877,8.871732,9.025569,-15.222893,29.496758,67.17014,6.8019,4.433794,-9.582253
23,2.577221393585205,-2.4602808952331543,91.50997924804688,-2.428139254316115,-3.6639547480728982,23.093746932372962,-7.5129046,9.892147,-11.226427,31.670776,-9.050903,-14.543106,20.171282,-1.228632,-39.898064,2.2817786,-10.791311,3.7834554,-1.4314574,6.6898446,5.095446,7.103453,11.192434,-26.8946,66.629684,-5.9486356,3.9274528,8.821351,9.015354,-15.316111,29.521046,67.07582,6.3457174,4.644213,-9.745671
24,2.8637478351593018,-2.387702465057373,91.4331283569336,-2.6134338022678594,-3.284092681817552,23.065077352804778,-7.8825474,10.209571,-11.132376,32.10825,-9.603828,-14.3646965,19.852983,-0.8267082,-38.855957,2.2367806,-10.879853,3.684806,-1.3534993,6.769631,5.333578,6.7606936,11.164399,-26.844929,67.06485,-6.467388,3.887442,8.664941,8.980359,-15.389993,29.415321,66.96305,6.6925693,4.7686305,-9.5469
25,3.126685619354248,-2.3703136444091797,91.34542083740234,-2.848177675835118,-2.905999247211479,23.064711493450744,-8.518157,10.669314,-10.922914,33.018806,-10.509879,-13.872747,19.461138,-0.28190598,-37.49741,2.1735017,-10.873198,3.5764024,-1.1421348,6.91286,5.6148095,6.3880563,11.165637,-26.611824,67.36132,-7.1118374,3.7319045,8.603392,8.854359,-15.41354,29.324585,66.86462,6.6026354,4.8190207,-9.362517
26,3.361900568008423,-2.4167611598968506,91.28407287597656,-2.978792383708492,-2.540557208171549,22.965228803648266,-9.456462,10.98409,-10.69375,34.650433,-10.951624,-13.498857,19.156084,0.086363316,-36.857647,2.1197104,-10.752316,3.488479,-0.8343746,7.155508,6.08336,5.844971,11.182336,-26.476862,67.793205,-7.2740197,3.6185772,8.756687,8.593629,-15.452433,29.392178,66.7999,6.0228777,4.4309273,-9.249232
27,3.5659286975860596,-2.524186372756958,91.1959457397461,-3.2662240594314067,-2.602912983827651,22.658580564834615,-10.770756,11.627923,-10.094568,37.771763,-11.98291,-13.172271,19.099327,0.7672462,-35.131725,2.0667577,-10.692232,3.3386927,-0.681437,7.436965,6.6007724,5.394113,11.219642,-26.707731,68.25473,-7.691619,2.9885013,8.867025,8.282341,-15.469443,29.63592,66.756226,5.6729913,4.0312977,-8.915172
28,3.7603111267089844,-2.6916635036468506,91.10599517822266,-3.4849342782858628,-2.865785598747955,22.682066443648157,-12.779377,12.100051,-9.7908,41.991806,-12.73229,-12.803719,19.248127,1.4926159,-33.304276,2.0154803,-10.815598,3.2477682,-0.48767373,7.743986,7.301832,4.8879075,11.308291,-26.73016,68.46047,-8.699053,2.7704358,9.186801,8.071086,-15.479198,29.948133,66.67184,5.5026927,3.9543417,-8.98382
29,3.974579334259033,-2.9054055213928223,90.98686981201172,-3.8031048993346914,-3.0008667432930527,21.827909820529534,-15.784944,12.580019,-9.02505,47.983,-13.548903,-12.283469,19.245934,2.190795,-31.642557,1.92242,-10.997326,3.2625442,-0.26387683,8.023804,8.015216,4.6724906,11.451385,-26.805134,68.23274,-9.855769,2.3695173,9.175321,7.6509237,-15.471906,30.190975,66.744705,5.0955305,3.7819033,-8.880738
30,4.260522842407227,-3.1642940044403076,90.90653228759766,-3.7928861263386984,-3.1713260699690684,21.55169587183307,-19.342377,12.651468,-8.685145,54.442013,-14.302903,-11.119127,19.374603,2.6415884,-30.221,1.918139,-11.479076,3.0542772,0.06654157,8.346746,8.782163,4.3856854,11.61209,-26.46749,67.515976,-10.636748,2.607045,9.4603815,7.4125752,-15.430954,30.258173,66.88869,4.710502,4.117828,-8.883751
31,4.660629749298096,-3.4431724548339844,90.78627014160156,-3.8338675977639745,-3.390213879706421,20.687385457985016,-23.73561,13.013702,-7.955848,61.723972,-14.066999,-9.570252,19.63922,3.0622468,-28.92392,1.9001577,-12.07556,2.9723494,0.335575,8.705191,9.818678,4.10594,11.713256,-26.326414,66.3713,-11.103058,2.835081,9.629673,6.7158217,-15.431686,30.272844,67.15647,4.2794447,4.339242,-9.228683
